InChI_Key,species,SLN,SMILES,LogS,UnLogged_LogS,MW,MLOGP,Kh_first,UnLoggedKh_first,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
AAEVYOVXGOFMJO-UHFFFAOYSA-N,Prometryn,S(CH3)C[6]=NC(=NC(=N@6)NHCH(CH3)CH3)NHCH(CH3)CH3,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1,7.94E-05,241.41,2.893,-6.70930434,1.95E-07,4.303888889,0.309264928,4.303888889,0.309264928,0.770835866,241.364,222.212,241.1361166,90,0,0.228190341,-0.351875338,0.351875338,0.228190341,0.875,1.3125,1.625,32.1664263,10.39418211,2.068426824,-2.120915559,2.140177791,-2.170924103,7.979904033,0.812864635,2.911011565,311.7313157,12.12939203,10.40458962,11.2210862,7.507239053,5.340764568,6.56550944,4.067398335,4.840794997,1.633017235,2.180739793,1.093285582,1.448796519,-1.04,2759.640221,13.02684492,5.88537781,4.219731368,100.8677763,10.63357721,0,5.156436482,11.89667856,0,0,0,0,14.95193556,0,11.76188495,33.95071798,12.08368166,0,0,23.65856351,0,14.95193556,0,44.93506694,16.88934639,0,0,0,10.63357721,11.89667856,0,11.76188495,33.2913864,0,0,27.6949488,5.156436482,0,0,0,62.73,0,0,0,0,23.98036022,5.156436482,11.76188495,0,6.255769184,53.28046157,0,0,1.509079743,12.88181784,7.078501512,0,1.24537037,0.618529856,1.952025699,8.214674981,0,0.7,16,2,5,0,0,0,0,1,1,6,2,6,5,0,0,0,1,2.2341,69.1254,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AEXMKKGTQYQZCS-UHFFFAOYSA-N,"3,3-Dimethylpentane",C(CH2CH3)(CH2CH3)(CH3)CH3,CCC(C)(C)CC,-4.23,5.89E-05,100.23,3.869,12.1291116,1.35E+12,2.298611111,0.583333333,2.298611111,0.583333333,0.500244211,100.205,84.077,100.1252005,44,0,-0.035945628,-0.064873379,0.064873379,0.035945628,1,1.285714286,1.285714286,14.14955031,9.87649871,2.091434353,-2.1816698,2.222051574,-2.054194204,4.61172999,0.337895437,3.360435143,38,5.914213562,5.914213562,5.914213562,3.121320344,3.121320344,3.121320344,2.871320344,2.871320344,1.914213562,1.914213562,0.25,0.25,0,26.83874054,7,2.34375,2.666666667,46.92890371,0,0,0,0,0,0,0,0,0,0,40.53659204,5.414990469,0,0,0,0,0,0,5.414990469,40.53659204,0,0,0,0,0,0,0,0,0,0,5.414990469,40.53659204,0,0,0,0,0,0,0,0,0,5.414990469,0,12.84164325,0,0,27.6949488,0,0,0,0,0,0.583333333,0,0,2.590277778,9.076388889,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.8326,34.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFABGHUZZDYHJO-UHFFFAOYSA-N,2-Methylpentane,CH3CH(CH2CH2CH3)CH3,CCCC(C)C,-3.74,0.00018197,86.2,3.516,12.04055821,1.10E+12,2.253472222,0.898148148,2.253472222,0.898148148,0.483890298,86.178,72.066,86.10955045,38,0,-0.047142635,-0.065372598,0.065372598,0.047142635,1.333333333,1.833333333,1.833333333,13.91556205,10.10992304,1.851316607,-1.954342432,1.999086728,-1.811609039,4.382863992,0.576003154,2.627214848,21.21928095,4.991563832,4.991563832,4.991563832,2.77005561,2.77005561,2.77005561,2.182521985,2.182521985,0.866025404,0.866025404,0.577350269,0.577350269,0,14.83446686,6,3.2,4,40.5639616,0,0,0,0,0,0,0,0,0,0,33.61285484,5.917906046,0,0,0,0,0,0,5.917906046,33.61285484,0,0,0,0,0,0,0,0,0,0,5.917906046,33.61285484,0,0,0,0,0,0,0,0,0,0,5.917906046,12.84164325,0,0,20.7712116,0,0,0,0,0,0,0.898148148,0,2.706018519,6.729166667,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.4425,29.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFBPFSWMIHJQDM-UHFFFAOYSA-N,N-Methylaniline,NH(CH3)C[7]=CHCH=CHCH=CH@7,CNc1ccccc1,-1.28,0.052480746,107.17,1.859,0.139262067,1.378040771,3.026944444,1.159722222,3.026944444,1.159722222,0.575903194,107.156,98.084,107.0734993,42,0,0.033704291,-0.388122069,0.388122069,0.033704291,1.125,1.75,2.125,14.80767783,10.31362402,1.773859461,-1.936620481,2.009835285,-1.838462915,5.407417345,1.514940242,2.832085835,145.7328145,5.819990956,4.886751346,4.886751346,3.931851653,2.660683603,2.660683603,1.616025404,1.616025404,1.062464203,1.062464203,0.604819519,0.604819519,-0.98,91.36757728,5.162450142,2.358604859,0.997109257,49.34620742,5.316788604,0,0,0,0,0,0,0,0,0,18.19910121,12.13273414,12.73505826,0,0,5.687386275,0,0,0,0,12.36446059,30.33183534,0,0,5.316788604,5.687386275,0,0,7.047671983,0,0,0,30.33183534,0,0,0,12.03,0,0,0,0,0,5.687386275,0,0,37.37950732,5.316788604,0,0,0,0,3.026944444,1.159722222,0,10.06796296,0,0,1.912037037,0.142857143,8,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1.7283,35.9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,1-Decene,CH2(CH2CH2CH2CH3)CH2CH2CH2CH=CH2,C=CCCCCCCCC,-5.51,3.09E-06,140.3,4.678,12.50717774,3.21E+12,3.694651597,1.200520833,3.694651597,1.200520833,0.371151101,140.27,120.11,140.1565006,60,0,-0.035341293,-0.103082979,0.103082979,0.035341293,1,1.6,2.2,13.92497964,10.10347178,1.86091181,-1.960667104,2.058476111,-1.763053386,4.646643453,0.611266658,2.703789901,64.4385619,7.656854249,7.234204519,7.234204519,4.914213562,4.523603362,4.523603362,2.845117222,2.845117222,1.761801681,1.761801681,1.06900522,1.06900522,-0.26,175.076748,9.74,8.74,7.74,65.33412703,0,0,0,0,0,0,0,0,0,6.578935684,45.10386542,12.84164325,0,0,0,0,0,0,0,51.86948856,0,12.65495579,0,0,0,0,0,0,0,0,0,51.86948856,12.65495579,0,0,0,0,0,0,0,0,0,0,44.94575136,0,6.076020107,13.50267288,0,0,0,0,0,0,0,0,11.55163738,5.948362623,0,0.8,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3.923,48.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AHJKRLASYNVKDZ-UHFFFAOYSA-N,"p,p'-DDD",ClCH(Cl)CH(C[7]=CHCH=C(Cl)CH=CH@7)C[18]=CHCH=C(Cl)CH=CH@18,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,6.31E-08,320.04,5.934,-0.405465108,0.393128828,6.091872008,-0.534860166,6.091872008,0.094567901,0.615021467,320.046,309.966,317.953661,94,0,0.118223131,-0.104336402,0.118223131,0.104336402,0.611111111,0.944444444,1.222222222,35.53927995,9.927788407,2.207679508,-2.188192278,2.33887285,-2.084635228,6.446098789,0.886864964,2.394110503,456.8221302,13.12095586,9.285360584,12.30907637,8.5753874,5.367818266,6.996618773,3.915228273,5.951881344,2.710220015,3.718125277,1.823640238,2.657530927,-0.4,12051.94152,14.0185455,6.164208984,3.330091332,126.4314465,0,4.83626969,0,0,0,0,0,0,0,23.20187978,47.46734805,35.39237126,15.96317267,0,0,46.40375956,0,0,0,10.75417574,0,69.70310616,0,0,0,0,0,46.40375956,4.83626969,0,0,17.04480903,48.53093655,10.04526663,0,0,0,4.83626969,0,0,5.917906046,10.04526663,11.12690298,0,0,48.53093655,0,46.40375956,0,23.94235205,-0.534860166,1.378335223,2.049486017,-0.094567901,15.03703256,0,0,0,0.142857143,18,0,0,0,0,0,2,0,2,0,0,4,3,0,0,0,2,5.929,80.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIKKULXCBHRFOS-UHFFFAOYSA-N,Formothion,S(P(=S)(OCH3)OCH3)CH2C(=O)N(CH3)CH=O,COP(=S)(OC)SCC(=O)N(C)C=O,-2,0.01,257.3,-0.856,-11.40756495,3.91E-12,11.18681311,-2.39863174,11.18681311,0.07757716,0.519212858,257.273,245.177,256.9945365,82,0,0.246795908,-0.32503076,0.32503076,0.246795908,1.571428571,2.071428571,2.428571429,32.92113776,10.63327668,2.190056636,-2.164967066,2.590266321,-2.26004656,8.676135436,-0.13392126,4.109305021,252.2160592,11.19023444,8.128373984,10.65579434,6.486510968,3.557867538,7.786701524,2.19585191,8.719755302,1.344859068,7.005083358,0.474823519,3.219359604,0.06,930.4370124,14.06,6.526490931,4.522952948,92.03888242,9.047494323,0,0,18.01081264,0,0,14.4889841,0,0,0,11.3817248,11.80685609,21.26726707,5.752853607,18.63656869,41.19939352,0,4.899909731,0,0,27.02012067,0,0,0,0,0,0,17.0752624,44.23730544,30.44342478,0,0,0,0,0,0,55.84,5.693537601,9.589074368,0,11.66003334,6.410095306,16.28163453,21.26726707,0,0,0,20.85435041,9.916685091,6.123119803,22.36939547,0,-2.39863174,-0.24804784,0,0.450394621,0,4.259306815,0.666666667,14,0,5,0,0,0,0,0,0,6,0,8,6,0,0,0,0,0.8517,59.595,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIURIRUDHVDRFQ-UHFFFAOYSA-N,"2,2',3,4,5-Pentachlorobiphenyl",C[1](C(=C(C(=C(CH=@1)Cl)Cl)Cl)Cl)C[12]C(=CHCH=CHCH=@12)Cl,Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,-7.21,6.17E-08,326.42,6.232,4.721704002,52687.06448,6.14329995,0.23217876,6.14329995,0.23217876,0.407843716,326.437,321.397,323.8833886,88,0,0.079957111,-0.083663291,0.083663291,0.079957111,0.588235294,1.235294118,1.882352941,35.50205329,10.05847396,2.152906651,-2.101559866,2.432990052,-1.841909091,6.525026921,1.612208713,2.733697851,577.3489384,12.57698579,8.276573711,12.05621844,8.019744508,4.599611721,6.489434086,3.32774332,5.276036993,2.266651877,4.3476565,1.44849798,2.589854776,-0.11,7023.45167,13.32467923,5.255925393,2.518410085,124.0048285,0,0,0,0,0,0,0,0,0,0,76.20380066,12.13273414,16.1495363,20.09053325,0,58.00469945,0,0,0,0,0,55.44500191,0,11.12690298,0,0,0,58.00469945,0,0,0,0,30.33183534,25.11316657,11.12690298,0,0,0,0,0,10.04526663,20.63135143,5.563451492,0,12.13273414,18.19910121,0,58.00469945,0,30.1156669,0,1.73509149,1.42712963,0,8.944334198,0,0,0,0,17,0,0,0,0,0,2,0,2,0,0,5,1,0,0,0,2,6.6206,76.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJDIZQLSFPQPEY-UHFFFAOYSA-N,"1,1,2-Trichloro-1,2,2-trifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,FC(F)(Cl)C(F)(Cl)Cl,-3.04,0.000912011,187.37,2.783,8.517193191,328997949.4,11.54475309,-4.226080247,11.54475309,3.68595679,0.553756284,187.375,187.375,185.9017677,50,0,0.382975648,-0.199489488,0.382975648,0.199489488,0.875,1,1,35.53978294,10.76762854,2.506737605,-2.13158402,2.420074566,-2.268486715,6.509766303,0.024088518,4.020391543,67.509775,7,3.267786838,5.535573676,3.25,1.383893419,2.517786838,0.995518138,2.70532199,0.321428571,1.25,0,0,0.66,21.30605883,8.66,2.119872869,2.286403302,58.51059803,0,0,0,0,0,9.968834453,0,0,13.17124514,0,23.20187978,11.60093989,0,0,13.17124514,34.80281967,0,0,0,9.968834453,0,0,0,0,0,13.17124514,0,34.80281967,9.968834453,0,0,0,0,0,0,0,0,9.968834453,13.17124514,0,0,0,0,0,0,0,34.80281967,0,30.57021605,12.48919753,0,-4.226080247,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2.9189,26.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKCRQHGQIJBRMN-UHFFFAOYSA-N,2-Chloroaniline,ClC[2]=C(CH=CHCH=CH@2)NH2,Nc1ccccc1Cl,-1.52,0.030199517,127.58,2.127,-0.587786665,0.258352897,5.58367284,0.618055556,5.58367284,0.618055556,0.529786082,127.574,121.526,127.0188769,42,0,0.063491408,-0.397522965,0.397522965,0.063491408,1.25,1.875,2.25,35.49569096,10.31868908,1.868285519,-1.90888572,2.14873885,-1.821361983,6.325028955,1.684774772,3.134861511,164.6383389,5.983127663,4.264715819,5.020644765,3.804530453,2.30500764,2.682972113,1.521512945,1.928713071,0.905222603,1.249428651,0.475095967,0.610829342,-0.69,72.49526583,5.446798906,2.052669548,0.927965288,53.07456004,5.733667477,0,0,0,0,0,0,0,0,0,23.73367403,12.13273414,0,10.71001959,0,17.28832616,0,0,0,0,5.733667477,29.28810159,0,0,5.733667477,5.687386275,0,11.60093989,0,0,0,0,24.26546827,5.022633314,0,0,26.02,0,0,0,0,10.71001959,0,0,12.13273414,12.13273414,0,17.33460737,0,5.58367284,0,0.618055556,6.021358025,0,7.221358025,0,0,0,0,8,2,1,0,0,0,1,0,1,1,1,2,0,0,0,0,1,1.9222,35.8644,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
